"","species","sla.m","la.m","ldmc.m","sla.se","la.se","ldmc.se","ht.max","ht.m","ht.se","life_history","growth_form","disp_syn","disp_type","hybridization","native"
"60","Galium boreale",15.5604555139874,0.0489473168341859,0.00332,0.365158440171734,0.00286712322412645,0.000258147244804201,46,21.1,5.06767533819338,"perennial-herb","herbaceous",4,"mericarp",0,1
"61","Geranium richardsonii",8.75594490951424,2.37400463733955,0.2744,0.36856655408625,0.14717016657373,0.0198400455495296,85,70,6.93541635375988,"perennial-herb","herbaceous",4,"carpel",1,1
"62","Geranium viscosissimum",4.15754023045311,2.02242996885884,0.499266666666667,0.241839289265266,0.143000914106228,0.0382813367156992,66,51.75,5.10187873892223,"perennial-herb","herbaceous",4,"carpel",1,1
"63","Geum macrophyllum",919.603826775024,221.998095275423,0.2474,45.3573929507354,4.9443128814321,0.0107753834682989,98.5,78.625,8.40727611457282,"perennial-herb","herbaceous",4,"achene",0,1
"64","Hackelia patens",4.73072393001385,0.40172722743951,0.087,0.119530471251829,0.0121964316075718,0.0046023472272309,59,45.3666666666667,4.34524005218482,"perennial-herb","herbaceous",4,"nutlet",0,1
"65","Helianthella uniflora",11.3910542461648,1.17131472034462,0.10376,0.557832761893974,0.0606595279735114,0.00268498044685618,84,52.7,7.19266601785766,"perennial-herb","herbaceous",4,"achene",0,1
"66","Hydrophyllum capitatum",16.7389367283135,2.75797457385839,0.16695,0.415442846151954,0.213890506723526,0.0133857090167967,15,11.98,0.880252489030531,"perennial-herb","herbaceous",1,"capsule",0,1
"67","Ipomopsis aggregata",6.73371795374475,0.0634075983888507,0.00972,0.232906006242552,0.00209866082496179,0.000529603625365235,44.5,36.52,3.56474403008126,"perennial-monocarpic","herbaceous",1,"capsule",0,1
"68","Isatis tinctoria",8.61727986017928,0.530836753416453,0.06264,0.356727761233833,0.0436941356187542,0.00454289775363699,106,81.625,5.96099674071855,"biennial","herbaceous",2,"silicle",0,0
"69","Juniperus osteosperma",100.591205365174,26.4645655817401,0.271,4.20370520996202,1.12808482811475,0.0158856329220253,1170,955,87.6070773396762,"perennial-woody","tree",3,"cone",0,1
"70","Koeleria macrantha",4.2335962862972,0.0798386932044044,0.0188285714285714,0.153153945260235,0.00308955703115899,0.000261972780283238,44,30.8333333333333,3.11369733774995,"perennial-herb","herbaceous",1,"caryopsis",0,1
"71","Lactuca serriola",108.073272533828,13.6917864473998,0.07,44.3781890431857,5.91080359049931,0.00748240603014832,58,16.739,0.91452465436113,"biennial","herbaceous",2,"achene",0,1
"72","Lathyrus pauciflorus",10.7062342772086,1.58265251955972,0.149666666666667,0.178045361027165,0.162153815533,0.016098539156177,109,39.1307692307692,5.36306677257524,"perennial-herb","vine-herbaceous",1,"legume",1,1
"73","Leucopoa kingii",479.381899978789,44.2943782962282,0.09492,25.4691336935214,3.74548794162983,0.00757409268493593,49.6,38.28,4.32266121735211,"perennial-herb","herbaceous",4,"caryopsis",0,1
"74","Leymus cinereus",9.0604911483017,3.8317233851218,0.4086,0.601975724858247,0.41721979410308,0.0177998426959341,117,86.5,5.54204706893452,"perennial-herb","herbaceous",1,"capsule",0,1
"75","Linum lewisii",6.80953979666764,0.0266869540189614,0.00395777777777778,0.0720980456031626,0.000630267605564034,0.000121080005991262,69.9,49.3833333333333,9.76522458067971,"perennial-herb","herbaceous",1,"capsule",0,1
"76","Lithophragma parviflorum",18.2239088500718,0.150945790477911,0.00852,0.719384571202624,0.00516872106394063,0.000449533091106762,27,10.46,1.8953183318238,"perennial-herb","herbaceous",1,"capsule",0,1
"77","Lithospermum ruderale",6.66784639185714,0.201888368532556,0.03044,0.119517889495528,0.00341527944800285,0.000654461610791649,63.8,52.5,2.218885879322,"perennial-herb","herbaceous",3,"nutlet",0,1
"78","Lomatium ambiguum",11.4847499363299,1.36045712404621,0.119236666666667,0.153924686907179,0.0276562256646127,0.00382749682487712,22,13.7,1.1513277359447,"perennial-herb","herbaceous",2,"schizocarp",0,1
"79","Lomatium dissectum",2.75932177468374,4.02961637997926,1.3579,0.353592885961985,0.685785847276312,0.0626495703629854,35,26.625,1.67904628541664,"perennial-herb","herbaceous",2,"schizocarp",0,1
"80","Lomatium grayi",78.8203523009511,22.7674537141913,0.22952,20.8469199555058,6.18811907037263,0.0132988601015275,16.5,11.76,1.50253119767944,"perennial-herb","herbaceous",2,"schizocarp",0,1
"81","Lupinus sericeus",11.133947102681,1.29613682217611,0.11508,0.618608178854196,0.11470051805519,0.00499508558485238,40,22.6,6.69776081985614,"perennial-herb","herbaceous",1,"legume",1,1
"82","Maianthemum racemosum",334.411304428588,67.4532163533093,0.211066666666667,79.9824135766945,15.848713041697,0.00774271461631059,46.8,30.0636363636364,3.84353702460431,"perennial-herb","herbaceous",3,"berry",0,1
"83","Melica bulbosa",6.01504373197055,0.156793969916979,0.02636,0.184686347640882,0.00207950475170112,0.000540666255651303,54,42,2.98526141473167,"perennial-herb","herbaceous",1,"caryopsis",0,1
"84","Mertensia oblongifolia",22.0447432269328,0.723771968837512,0.033,0.280462823778537,0.0368398898166129,0.00182208671582886,33,25.76875,0.992501836690156,"perennial-herb","herbaceous",1,"nutlet",0,1
"85","Myosotis scorpioides",5.23655043752761,0.891831391993745,0.17428,0.101079816895984,0.0565181154858396,0.0141234726607871,80.2,54.74,7.78123383532458,"perennial-herb","herbaceous",1,"nutlet",0,0
"86","Nemophila breviflora",19.46917640135,0.0926863596284425,0.0048,0.614673688736743,0.00291543928776036,8.77496438739212e-05,27,14.4384615384615,1.79791683093698,"annual","herbaceous",1,"capsule",0,1
"87","Nemophila parviflora",20.7186485153169,0.0242115522311099,0.00118857142857143,0.586874663714858,0.000432162219797494,2.55380655494973e-05,23,15.46,2.50231892451782,"annual","herbaceous",1,"capsule",0,1
"88","Oenothera caespitosa",3.24768862033193,0.373035923337769,0.11344,0.0778473424557245,0.0253196510214697,0.00672633035168509,26,12.6,1.2466586921595,"perennial-herb","herbaceous",1,"capsule",1,1
"89","Osmorhiza berteroi",19.6897830974633,2.38138034568746,0.1306,1.42711040644327,0.157747421514164,0.0160198256799135,58,34.06,6.63841848635652,"perennial-herb","herbaceous",1,"capsule",1,1
"90","Osmorhiza occidentalis",1359.37066369645,161.954505818109,0.1254,95.7148478353564,11.5225332097824,0.0102792049094971,55,23.5909090909091,4.16632505486669,"perennial-herb","herbaceous",4,"schizocarp",0,1
"91","Ozomelis stauropetala",8.52595520168826,0.388047445575542,0.0458,0.190278276581084,0.0272613103553554,0.00346560240073786,11,7.32857142857143,0.529817361380997,"perennial-herb","herbaceous",1,"capsule",0,1
"92","Paxistima myrsinites",8.60044673342354,0.144311741427248,0.01736,0.407517068149807,0.00534521029020133,0.000785060507222214,27,13.1538461538462,1.52267541975467,"perennial-woody","shrub",1,"capsule",0,1
"93","Penstemon cyananthus",3.79875114040502,0.439393062633806,0.122666666666667,0.194991490226153,0.037216397253831,0.014123864752806,74.5,56.2,6.05929038749588,"perennial-herb","herbaceous",1,"capsule",1,1
"94","Penstemon humilis",3.35265008089726,0.135382417338872,0.04204,0.115937861443018,0.00486843084689988,0.00280733325417557,21,16.8571428571429,1.5225068836903,"perennial-herb","herbaceous",1,"capsule",1,1
"95","Petradoria pumila",3.47353236603347,0.131171484055407,0.03828,0.053601051738407,0.00470254491378417,0.00178294138995089,24,21.82,0.910714005602198,"perennial-herb","herbaceous",2,"achene",0,1
"96","Physocarpus malvaceus",17.1004105007034,1.62940948838967,0.09392,0.494227640303195,0.140453119119373,0.00612631047205412,152,86.6153846153846,14.1840188427873,"perennial-woody","shrub",1,"follicle",0,1
"97","Poa bulbosa",15.6734749010772,0.196842748174964,0.01276,0.473384098276009,0.00484476352401713,0.000442176435373935,57,23.3148514851485,0.75163898293697,"perennial-herb","herbaceous",1,"caryopsis",1,0
"98","Poa pratensis",18.2856668111259,0.217442740952019,0.011825,0.236135935147703,0.0236956764841966,0.00114315596291825,89,45.5,4.99911688107442,"perennial-herb","herbaceous",1,"caryopsis",1,1
