"plot","year","month","day","time","temp"
1111,2018,10,5,"21:00",6.88
1111,2018,10,5,"22:30",5.86
1111,2018,10,6,"00:00",5.35
1111,2018,10,6,"01:30",4.83
1111,2018,10,6,"03:00",4.52
1111,2018,10,6,"04:30",4.1
1111,2018,10,6,"06:00",3.89
1111,2018,10,6,"07:30",4
1111,2018,10,6,"09:00",4.1
1111,2018,10,6,"10:30",4.93
1111,2018,10,6,"12:00",6.78
1111,2018,10,6,"13:30",8.28
1111,2018,10,6,"15:00",9.37
1111,2018,10,6,"16:30",9.96
1111,2018,10,6,"18:00",9.37
1111,2018,10,6,"19:30",8.58
1111,2018,10,6,"21:00",7.78
1111,2018,10,6,"22:30",7.48
1111,2018,10,7,"00:00",6.88
1111,2018,10,7,"01:30",6.06
1111,2018,10,7,"03:00",5.55
1111,2018,10,7,"04:30",5.66
1111,2018,10,7,"06:00",5.55
1111,2018,10,7,"07:30",5.45
1111,2018,10,7,"09:00",5.76
1111,2018,10,7,"10:30",6.67
1111,2018,10,7,"12:00",7.88
1111,2018,10,7,"13:30",8.58
1111,2018,10,7,"15:00",9.77
1111,2018,10,7,"16:30",9.96
1111,2018,10,7,"18:00",9.57
1111,2018,10,7,"19:30",8.98
1111,2018,10,7,"21:00",8.38
1111,2018,10,7,"22:30",7.88
1111,2018,10,8,"00:00",7.08
1111,2018,10,8,"01:30",6.57
1111,2018,10,8,"03:00",5.96
1111,2018,10,8,"04:30",5.66
1111,2018,10,8,"06:00",5.55
1111,2018,10,8,"07:30",5.55
1111,2018,10,8,"09:00",5.55
1111,2018,10,8,"10:30",6.27
1111,2018,10,8,"12:00",6.47
1111,2018,10,8,"13:30",7.68
1111,2018,10,8,"15:00",8.48
1111,2018,10,8,"16:30",8.78
1111,2018,10,8,"18:00",8.38
1111,2018,10,8,"19:30",7.78
1111,2018,10,8,"21:00",6.47
1111,2018,10,8,"22:30",5.35
1111,2018,10,9,"00:00",4.52
1111,2018,10,9,"01:30",3.79
1111,2018,10,9,"03:00",3.37
1111,2018,10,9,"04:30",3.05
1111,2018,10,9,"06:00",2.73
1111,2018,10,9,"07:30",2.62
1111,2018,10,9,"09:00",2.62
1111,2018,10,9,"10:30",3.05
1111,2018,10,9,"12:00",3.79
1111,2018,10,9,"13:30",5.04
1111,2018,10,9,"15:00",5.76
1111,2018,10,9,"16:30",6.37
1111,2018,10,9,"18:00",6.17
1111,2018,10,9,"19:30",5.96
1111,2018,10,9,"21:00",5.66
1111,2018,10,9,"22:30",5.35
1111,2018,10,10,"00:00",5.14
1111,2018,10,10,"01:30",4.93
1111,2018,10,10,"03:00",4.52
1111,2018,10,10,"04:30",4
1111,2018,10,10,"06:00",3.79
1111,2018,10,10,"07:30",3.68
1111,2018,10,10,"09:00",3.68
1111,2018,10,10,"10:30",4.21
1111,2018,10,10,"12:00",5.35
1111,2018,10,10,"13:30",5.76
