Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,Notes,Scans,Bag_label
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6b,2018-11-07,Hillary Woolf,0.76,0.169,basal leaves,1133-6b.jpeg,1133-6b
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6c,2018-11-07,Hillary Woolf,0.699,0.135,basal leaves,1133-6c.jpeg,1133-6c
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6d,2018-11-07,Hillary Woolf,0.935,0.211,basal leaves,1133-6d.jpeg,1133-6d
2018-06-14,Elizabeth Simpson,,5,Achillea millefolium,1133-6e,2018-11-07,Hillary Woolf,0.747,0.111,basal leaves,1133-6e.jpeg,1133-6e
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8a,2018-11-07,Hillary Woolf,0.082,0,,1133-8a-e.jpeg,1133-8a
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8b,2018-11-07,Hillary Woolf,0.133,0,,1133-8a-e.jpeg,1133-8b
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8c,2018-11-07,Hillary Woolf,0.073,0,,1133-8a-e.jpeg,1133-8c
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8d,2018-11-07,Hillary Woolf,0.084,0,,1133-8a-e.jpeg,1133-8d
2018-06-14,Elizabeth Simpson,,5,Lithospermum ruderale,1133-8e,2018-11-07,Hillary Woolf,0.154,0,,1133-8a-e.jpeg,1133-8e
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9a,2018-11-07,Hillary Woolf,0.251,0,,1133-9a-c.jpeg,1133-9a
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9b,2018-11-07,Hillary Woolf,0.142,0,,1133-9a-c.jpeg,1133-9b
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9c,2018-11-07,Hillary Woolf,0.236,0,,1133-9a-c.jpeg,1133-9c
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9d,2018-11-07,Hillary Woolf,0.194,0,,1133-9d-e.jpeg,1133-9d
2018-06-14,Elizabeth Simpson,,5,Erigeron speciosus,1133-9e,2018-11-07,Hillary Woolf,0.097,0,,1133-9d-e.jpeg,1133-9e
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10a,2018-11-07,Hillary Woolf,0,0,,1133-10a-e.jpeg,1133-10a
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10b,2018-11-07,Hillary Woolf,0.004,0,,1133-10a-e.jpeg,1133-10b
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10c,2018-11-07,Hillary Woolf,0.007,0,,1133-10a-e.jpeg,1133-10c
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10d,2018-11-07,Hillary Woolf,0.001,0,,1133-10a-e.jpeg,1133-10d
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1133-10e,2018-11-07,Hillary Woolf,0.001,0,,1133-10a-e.jpeg,1133-10e
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11a,2018-11-07,Hillary Woolf,0.311,0,,1133-11a.jpeg,1133-11a
