Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,ck_date_weighed,ck_weigher,ck_leaf_mass_g,ck_petiole_mass_g,Notes,Scans
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4a,2018-11-07,Hillary Woolf,0.671,0,,,,,,
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4b,2018-11-07,Hillary Woolf,0.308,0,2018-12-10,Elizabeth Simpson,0.314,0,,
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4c,2018-11-07,Hillary Woolf,0.124,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1a,2018-11-12,Hillary Woolf,0.25,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1b,2018-11-12,Hillary Woolf,0.168,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1c,2018-11-12,Hillary Woolf,0.283,0,2018-11-30,Elizabeth Simpson,0.285,0,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1d,2018-11-12,Hillary Woolf,0.235,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1e,2018-11-12,Hillary Woolf,0.178,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2a,2018-11-12,Hillary Woolf,0.513,0.054,2018-11-30,Elizabeth Simpson,0.571,0,for crepis ‘petioles’ and rest of leaf are not really separate but it kind of depends on which leaves on the plant you’re looking at,
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2b,2018-11-12,Hillary Woolf,1.177,0.234,,,,,,
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2c,2018-11-12,Hillary Woolf,0.93,0.334,2018-11-30,Elizabeth Simpson,1.271,0,dropped this one as I took it out of the scale after checking it,
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2d,2018-11-12,Hillary Woolf,1.261,0.195,,,,,,
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2e,2018-11-12,Hillary Woolf,1.336,0.397,,,,,,
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8a,2018-11-12,Hillary Woolf,0.994,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8b,2018-11-12,Hillary Woolf,0.869,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8c,2018-11-12,Hillary Woolf,0.714,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8d,2018-11-12,Hillary Woolf,1.617,0.401,,,,,,
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8e,2018-11-12,Hillary Woolf,0.822,0.029,2018-11-30,Elizabeth Simpson,0.87,0,any of these where it was maybe sticking off don’t look great,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9a,2018-11-12,Hillary Woolf,0.234,0,2018-11-30,Elizabeth Simpson,0.234,0,,
2018-06-19,Elizabeth Simpson,,4,Lactuca serriola,1222-9b,2018-11-12,Hillary Woolf,0.155,0,2018-11-30,Elizabeth Simpson,0.155,0,only four leaves present in spot check,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9c,2018-11-12,Hillary Woolf,0.193,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9d,2018-11-12,Hillary Woolf,0.216,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9e,2018-11-12,Hillary Woolf,0.291,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1a,2018-11-09,Hillary Woolf,0.277,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1b,2018-11-09,Hillary Woolf,0.169,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1c,2018-11-09,Hillary Woolf,0.203,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1d,2018-11-09,Hillary Woolf,0.223,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1e,2018-11-09,Hillary Woolf,0.128,0,2018-12-07,Elizabeth Simpson,0.129,0,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3a,2018-11-09,Hillary Woolf,0.23,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3b,2018-11-09,Hillary Woolf,0.229,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3c,2018-11-09,Hillary Woolf,0.188,0,2018-12-07,Elizabeth Simpson,0.189,0,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3d,2018-11-09,Hillary Woolf,0.29,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3e,2018-11-09,Hillary Woolf,0.292,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4a,2018-11-09,Hillary Woolf,0.487,0.22,,,,,,
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4b,2018-11-09,Hillary Woolf,0.484,0.151,,,,,,
